"data","volume","volume.percentual","mes","ano"
1990-01-31,518.39,96.8,1,1990
1990-01-31,518.39,96.8,1,1990
1990-02-28,520.97,97.2,2,1990
1990-02-28,520.97,97.2,2,1990
1990-03-31,514.72,96.1,3,1990
1990-03-31,514.72,96.1,3,1990
1990-04-30,510.67,95.3,4,1990
1990-04-30,510.67,95.3,4,1990
1990-05-31,506.44,94.5,5,1990
1990-05-31,506.44,94.5,5,1990
1990-06-30,502.76,93.8,6,1990
1990-06-30,502.76,93.8,6,1990
1990-07-31,500.37,93.4,7,1990
1990-07-31,500.37,93.4,7,1990
1990-08-31,491.81,91.8,8,1990
1990-08-31,491.81,91.8,8,1990
1990-09-30,481.96,90,9,1990
1990-09-30,481.96,90,9,1990
1990-10-31,468.95,87.5,10,1990
1990-10-31,468.95,87.5,10,1990
1990-11-30,455.16,85,11,1990
1990-11-30,455.16,85,11,1990
1990-12-31,441.37,82.4,12,1990
1990-12-31,441.37,82.4,12,1990
1991-01-31,427.57,79.8,1,1991
1991-01-31,427.57,79.8,1,1991
1991-02-28,416.64,77.8,2,1991
1991-02-28,416.64,77.8,2,1991
1991-03-31,461.46,86.1,3,1991
1991-03-31,461.46,86.1,3,1991
1991-04-30,500.56,93.4,4,1991
1991-04-30,500.56,93.4,4,1991
1991-05-31,504.79,94.2,5,1991
1991-05-31,504.79,94.2,5,1991
1991-06-30,500.56,93.4,6,1991
1991-06-30,500.56,93.4,6,1991
1991-07-30,492.6,92,7,1991
1991-07-30,492.6,92,7,1991
1991-08-31,484.32,90.4,8,1991
1991-08-31,484.32,90.4,8,1991
1991-09-30,473.29,88.4,9,1991
1991-09-30,473.29,88.4,9,1991
1991-10-31,460.68,86,10,1991
1991-10-31,460.68,86,10,1991
1991-11-30,446.88,83.4,11,1991
1991-11-30,446.88,83.4,11,1991
1991-12-31,432.3,80.7,12,1991
1991-12-31,432.3,80.7,12,1991
1992-01-31,488.66,91.2,1,1992
1992-01-31,488.66,91.2,1,1992
1992-02-29,512.88,95.7,2,1992
1992-02-29,512.88,95.7,2,1992
1992-03-31,513.06,95.8,3,1992
1992-03-31,513.06,95.8,3,1992
1992-04-30,517.66,96.6,4,1992
1992-04-30,517.66,96.6,4,1992
1992-05-31,512.51,95.7,5,1992
1992-05-31,512.51,95.7,5,1992
1992-06-30,508.65,95,6,1992
1992-06-30,508.65,95,6,1992
1992-07-31,504.79,94.2,7,1992
1992-07-31,504.79,94.2,7,1992
1992-08-31,500.37,93.4,8,1992
1992-08-31,500.37,93.4,8,1992
1992-09-30,494.57,92.3,9,1992
1992-09-30,494.57,92.3,9,1992
1992-10-31,483.14,90.2,10,1992
1992-10-31,483.14,90.2,10,1992
1992-11-30,471.32,88,11,1992
1992-11-30,471.32,88,11,1992
1992-12-31,455.16,85,12,1992
1992-12-31,455.16,85,12,1992
1993-01-31,440.18,82.2,1,1993
1993-01-31,440.18,82.2,1,1993
1993-02-28,426.39,79.6,2,1993
1993-02-28,426.39,79.6,2,1993
1993-03-31,413.2,77.1,3,1993
1993-03-31,413.2,77.1,3,1993
1993-04-30,401.16,74.9,4,1993
1993-04-30,401.16,74.9,4,1993
1993-05-31,390.49,72.9,5,1993
1993-05-31,390.49,72.9,5,1993
1993-06-30,380.85,71.1,6,1993
1993-06-30,380.85,71.1,6,1993
1993-07-31,370.87,69.2,7,1993
1993-07-31,370.87,69.2,7,1993
1993-08-31,360.2,67.2,8,1993
1993-08-31,360.2,67.2,8,1993
1993-09-30,348.84,65.1,9,1993
1993-09-30,348.84,65.1,9,1993
1993-10-31,331.3,61.8,10,1993
1993-10-31,331.3,61.8,10,1993
1993-11-30,317.54,59.3,11,1993
1993-11-30,317.54,59.3,11,1993
1993-12-31,301.37,56.3,12,1993
1993-12-31,301.37,56.3,12,1993
1994-01-31,290.71,54.3,1,1994
1994-01-31,290.71,54.3,1,1994
1994-02-28,303.09,56.6,2,1994
1994-02-28,303.09,56.6,2,1994
1994-03-31,308.25,57.5,3,1994
1994-03-31,308.25,57.5,3,1994
1994-04-30,302.75,56.5,4,1994
1994-04-30,302.75,56.5,4,1994
1994-05-31,299.31,55.9,5,1994
1994-05-31,299.31,55.9,5,1994
1994-06-30,296.9,55.4,6,1994
1994-06-30,296.9,55.4,6,1994
1994-07-31,292.43,54.6,7,1994
1994-07-31,292.43,54.6,7,1994
1994-08-31,282.79,52.8,8,1994
1994-08-31,282.79,52.8,8,1994
1994-09-30,180.51,43.8,9,1994
1994-09-30,180.51,43.8,9,1994
1994-10-31,172.32,41.9,10,1994
1994-10-31,172.32,41.9,10,1994
1994-11-30,163.46,39.7,11,1994
1994-11-30,163.46,39.7,11,1994
1994-12-31,154.55,37.5,12,1994
1994-12-31,154.55,37.5,12,1994
1995-01-31,227.07,55.2,1,1995
1995-01-31,227.07,55.2,1,1995
1995-02-28,239.26,58.1,2,1995
1995-02-28,239.26,58.1,2,1995
1995-03-31,327.17,79.5,3,1995
1995-03-31,327.17,79.5,3,1995
1995-04-30,364.67,88.6,4,1995
1995-04-30,364.67,88.6,4,1995
1995-05-31,412.51,100.2,5,1995
1995-05-31,412.51,100.2,5,1995
1995-06-30,409.42,99.4,6,1995
1995-06-30,409.42,99.4,6,1995
1995-07-31,405.29,98.4,7,1995
1995-07-31,405.29,98.4,7,1995
1995-08-31,394.62,95.8,8,1995
1995-08-31,394.62,95.8,8,1995
1995-09-30,382.23,92.8,9,1995
1995-09-30,382.23,92.8,9,1995
1995-10-31,369.49,89.8,10,1995
1995-10-31,369.49,89.8,10,1995
1995-11-30,355.04,86.2,11,1995
1995-11-30,355.04,86.2,11,1995
1995-12-31,339.55,82.5,12,1995
1995-12-31,339.55,82.5,12,1995
1996-01-31,327.17,79.5,1,1996
1996-01-31,327.17,79.5,1,1996
1996-02-29,312.72,76,2,1996
1996-02-29,312.72,76,2,1996
1996-03-31,340.24,82.6,3,1996
