"area","bacia","capacidade","data_informacao","estado","fonte","hectares","id","municipio","nome","nome_sem_acento","perimetro","reservat","reservat_sem_acento","tipo","uf","volume","volume_percentual"
551512.44,"Real",4.3,NA,"SERGIPE",NA,55.15,751,"Tobias Barreto","Jabiberi","Jabiberi",4334.07,"Barragem Jabiberi","Barragem Jabiberi","reservatorio","SE",NA,NA
135293504.18,"Paraguaçu",4836.82,2016-12-04,"BAHIA","ANA",13529.35,795,"Cabaceiras do Paraguaçu / Santo Estêvão / Antônio Cardoso / Conceição da Feira","Pedra do Cavalo","Pedra do Cavalo",493617.59,"UHE Pedra do Cavalo","UHE Pedra do Cavalo","reservatorio","BA",2898.93,59.9
482099.64,"Pontal",1.37,2015-01-05,"PERNAMBUCO","ANA",48.21,1041,"Afrânio","Barra de Melancia","Barra de Melancia",7342.93,"Açude Barra da Melancia","Acude Barra da Melancia","reservatorio","PE",0,0
13288331.66,"Poti",55,NA,"PIAUÍ",NA,1328.83,1055,"Valença do Piauí / Aroazes","Mesa de Pedra","Mesa de Pedra",53085.72,"Açude Mesa de Pedra","Acude Mesa de Pedra","reservatorio","PI",NA,NA
881810.32,"Capibaribe",1.6,NA,"PERNAMBUCO",NA,88.18,1066,"Brejo da Madre de Deus","Machado","Machado",10132.04,"Açude Machado","Acude Machado","reservatorio","PE",NA,NA
670508.29,"Mundau",2.59,2015-08-12,"PERNAMBUCO","ANA",67.05,1092,"Garanhuns / Capoeiras","Cajarana","Cajarana",6716.29,"Barragem de Cajarana","Barragem de Cajarana","reservatorio","PE",0.1,3.9
413934.64,"Pajeu",3.19,2014-06-09,"PERNAMBUCO","ANA",41.39,1176,"Floresta","Quebra Unha","Quebra Unha",6736.9,"Açude Quebra Unha (Juá)","Acude Quebra Unha (Jua)","reservatorio","PE",0.18,5.6
1674806.97,"Pajeu",36,2016-11-16,"PERNAMBUCO","ANA",167.48,1182,"Serra Talhada","Saco I","Saco I",6990.54,"Açude do Saco I","Acude do Saco I","reservatorio","PE",0,0
344321.93,"Piancó",1.26,2017-03-14,"PARAÍBA","AESA",34.43,1199,"Boa Ventura","Riacho Verde","Riacho Verde",8457.66,"Açude Riacho Verde","Acude Riacho Verde","reservatorio","PB",0.05,3.6
578448.06,"Brígida",5.72,2016-04-29,"PERNAMBUCO","ANA",57.84,1927,"Parnamirim","Parnamirim","Parnamirim",7510.11,"Açude Parnamirim","Acude Parnamirim","reservatorio","PE",0,0
420175.67,"TerraNova",16.45,2016-07-20,"PERNAMBUCO","ANA",42.02,1931,"Salgueiro","Boa Vista (Salgueiro)","Boa Vista (Salgueiro)",5690.69,"Açude Salgueiro","Acude Salgueiro","reservatorio","PE",0.53,3.2
5928537.21,"Apodi/Mossoró",10,2016-06-14,"RIO GRANDE DO NORTE","ANA",592.85,2067,"Caraúbas","Apanha Peixe","Apanha Peixe",21068.23,"Açude do Apanha Peixe","Acude do Apanha Peixe","reservatorio","RN",0,0
1343402.23,"Apodi/Mossoró",7,2017-03-07,"RIO GRANDE DO NORTE","GOVERNO RN",134.34,2217,"Rafael Fernandes / Riacho de Santana","Santana","Santana",9232.81,"Açude Santana (Gangorra)","Acude Santana (Gangorra)","reservatorio","RN",0,0
513404.51,"Canindé",348,NA,"PIAUÍ",NA,51.34,2766,"Patos do Piauí","Poço do Marruá","Poco do Marrua",3557.68,"Açude Poço do Marruá","Acude Poco do Marrua","reservatorio","PI",NA,NA
825167.37,"Apodi/Mossoró",4.72,2016-04-06,"RIO GRANDE DO NORTE","ANA",82.52,12001,"Pau dos Ferros","25 de Março","25 de Marco",6691.11,"Açude Vinte e Cinco de Março","Acude Vinte e Cinco de Marco","reservatorio","RN",0,0
