"DataInformacao","Fonte","Volume","VolumePercentual"
"31/01/1990","ANA","518.39",96.8
"31/01/1990","ANA","518.39",96.8
"28/02/1990","ANA","520.97",97.2
"28/02/1990","ANA","520.97",97.2
"31/03/1990","ANA","514.72",96.1
"31/03/1990","ANA","514.72",96.1
"30/04/1990","ANA","510.67",95.3
"30/04/1990","ANA","510.67",95.3
"31/05/1990","ANA","506.44",94.5
"31/05/1990","ANA","506.44",94.5
"30/06/1990","ANA","502.76",93.8
"30/06/1990","ANA","502.76",93.8
"31/07/1990","ANA","500.37",93.4
"31/07/1990","ANA","500.37",93.4
"31/08/1990","ANA","491.81",91.8
"31/08/1990","ANA","491.81",91.8
"30/09/1990","ANA","481.96",90
"30/09/1990","ANA","481.96",90
"31/10/1990","ANA","468.95",87.5
"31/10/1990","ANA","468.95",87.5
"30/11/1990","ANA","455.16",85
"30/11/1990","ANA","455.16",85
"31/12/1990","ANA","441.37",82.4
"31/12/1990","ANA","441.37",82.4
"31/01/1991","ANA","427.57",79.8
"31/01/1991","ANA","427.57",79.8
"28/02/1991","ANA","416.64",77.8
"28/02/1991","ANA","416.64",77.8
"31/03/1991","ANA","461.46",86.1
"31/03/1991","ANA","461.46",86.1
"30/04/1991","ANA","500.56",93.4
"30/04/1991","ANA","500.56",93.4
"31/05/1991","ANA","504.79",94.2
"31/05/1991","ANA","504.79",94.2
"30/06/1991","ANA","500.56",93.4
"30/06/1991","ANA","500.56",93.4
"30/07/1991","ANA","492.60",92
"30/07/1991","ANA","492.60",92
"31/08/1991","ANA","484.32",90.4
"31/08/1991","ANA","484.32",90.4
"30/09/1991","ANA","473.29",88.4
"30/09/1991","ANA","473.29",88.4
"31/10/1991","ANA","460.68",86
"31/10/1991","ANA","460.68",86
"30/11/1991","ANA","446.88",83.4
"30/11/1991","ANA","446.88",83.4
"31/12/1991","ANA","432.30",80.7
"31/12/1991","ANA","432.30",80.7
"31/01/1992","ANA","488.66",91.2
"31/01/1992","ANA","488.66",91.2
"29/02/1992","ANA","512.88",95.7
"29/02/1992","ANA","512.88",95.7
"31/03/1992","ANA","513.06",95.8
"31/03/1992","ANA","513.06",95.8
"30/04/1992","ANA","517.66",96.6
"30/04/1992","ANA","517.66",96.6
"31/05/1992","ANA","512.51",95.7
"31/05/1992","ANA","512.51",95.7
"30/06/1992","ANA","508.65",95
"30/06/1992","ANA","508.65",95
"31/07/1992","ANA","504.79",94.2
"31/07/1992","ANA","504.79",94.2
"31/08/1992","ANA","500.37",93.4
"31/08/1992","ANA","500.37",93.4
"30/09/1992","ANA","494.57",92.3
"30/09/1992","ANA","494.57",92.3
"31/10/1992","ANA","483.14",90.2
"31/10/1992","ANA","483.14",90.2
"30/11/1992","ANA","471.32",88
"30/11/1992","ANA","471.32",88
"31/12/1992","ANA","455.16",85
"31/12/1992","ANA","455.16",85
"31/01/1993","ANA","440.18",82.2
"31/01/1993","ANA","440.18",82.2
"28/02/1993","ANA","426.39",79.6
"28/02/1993","ANA","426.39",79.6
"31/03/1993","ANA","413.20",77.1
"31/03/1993","ANA","413.20",77.1
"30/04/1993","ANA","401.16",74.9
"30/04/1993","ANA","401.16",74.9
"31/05/1993","ANA","390.49",72.9
"31/05/1993","ANA","390.49",72.9
"30/06/1993","ANA","380.85",71.1
"30/06/1993","ANA","380.85",71.1
"31/07/1993","ANA","370.87",69.2
"31/07/1993","ANA","370.87",69.2
"31/08/1993","ANA","360.20",67.2
"31/08/1993","ANA","360.20",67.2
"30/09/1993","ANA","348.84",65.1
"30/09/1993","ANA","348.84",65.1
"31/10/1993","ANA","331.30",61.8
"31/10/1993","ANA","331.30",61.8
"30/11/1993","ANA","317.54",59.3
"30/11/1993","ANA","317.54",59.3
"31/12/1993","ANA","301.37",56.3
"31/12/1993","ANA","301.37",56.3
"31/01/1994","ANA","290.71",54.3
"31/01/1994","ANA","290.71",54.3
"28/02/1994","ANA","303.09",56.6
"28/02/1994","ANA","303.09",56.6
"31/03/1994","ANA","308.25",57.5
"31/03/1994","ANA","308.25",57.5
"30/04/1994","ANA","302.75",56.5
"30/04/1994","ANA","302.75",56.5
"31/05/1994","ANA","299.31",55.9
"31/05/1994","ANA","299.31",55.9
"30/06/1994","ANA","296.90",55.4
"30/06/1994","ANA","296.90",55.4
"31/07/1994","ANA","292.43",54.6
"31/07/1994","ANA","292.43",54.6
"31/08/1994","ANA","282.79",52.8
"31/08/1994","ANA","282.79",52.8
"30/09/1994","ANA","180.51",43.8
"30/09/1994","ANA","180.51",43.8
"31/10/1994","ANA","172.32",41.9
